Ticker / Index,Name,Date,Value,Change,ISIN
OMXBBGI,OMX_Baltic_Benchmark_GI,16.08.2005,554;81,2;8,
OMXBBGI,OMX_Baltic_Benchmark_GI,17.08.2005,554;59,2;76,
OMXBBGI,OMX_Baltic_Benchmark_GI,18.08.2005,556;47,3;11,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.08.2005,557;85,3;36,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.08.2005,559;37,3;64,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.08.2005,562;84,4;29,
OMXBBGI,OMX_Baltic_Benchmark_GI,24.08.2005,562;19,4;17,
OMXBBGI,OMX_Baltic_Benchmark_GI,25.08.2005,563;34,4;38,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.08.2005,567;49,5;15,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.08.2005,568;64,5;36,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.08.2005,567;36,5;13,
OMXBBGI,OMX_Baltic_Benchmark_GI,31.08.2005,569;73,5;56,
OMXBBGI,OMX_Baltic_Benchmark_GI,01.09.2005,571;05,5;81,
OMXBBGI,OMX_Baltic_Benchmark_GI,02.09.2005,575;94,6;71,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.09.2005,579;9,7;45,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.09.2005,581;64,7;77,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.09.2005,584;76,8;35,
OMXBBGI,OMX_Baltic_Benchmark_GI,08.09.2005,586;98,8;76,
OMXBBGI,OMX_Baltic_Benchmark_GI,09.09.2005,587;41,8;84,
OMXBBGI,OMX_Baltic_Benchmark_GI,12.09.2005,588;83,9;1,
OMXBBGI,OMX_Baltic_Benchmark_GI,13.09.2005,588;9,9;12,
OMXBBGI,OMX_Baltic_Benchmark_GI,14.09.2005,590;11,9;34,
OMXBBGI,OMX_Baltic_Benchmark_GI,15.09.2005,594;77,10;2,
OMXBBGI,OMX_Baltic_Benchmark_GI,16.09.2005,593;86,10;04,
OMXBBGI,OMX_Baltic_Benchmark_GI,19.09.2005,598;82,10;95,
OMXBBGI,OMX_Baltic_Benchmark_GI,20.09.2005,602;12,11;57,
OMXBBGI,OMX_Baltic_Benchmark_GI,21.09.2005,602;87,11;7,
OMXBBGI,OMX_Baltic_Benchmark_GI,22.09.2005,606;08,12;3,
OMXBBGI,OMX_Baltic_Benchmark_GI,23.09.2005,612;63,13;51,
OMXBBGI,OMX_Baltic_Benchmark_GI,26.09.2005,609;3,12;9,
OMXBBGI,OMX_Baltic_Benchmark_GI,27.09.2005,616;8,14;29,
OMXBBGI,OMX_Baltic_Benchmark_GI,28.09.2005,620;42,14;96,
OMXBBGI,OMX_Baltic_Benchmark_GI,29.09.2005,621;7,15;19,
OMXBBGI,OMX_Baltic_Benchmark_GI,30.09.2005,625;24,15;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,03.10.2005,630;74,16;87,
OMXBBGI,OMX_Baltic_Benchmark_GI,04.10.2005,632;2,17;14,
OMXBBGI,OMX_Baltic_Benchmark_GI,05.10.2005,630;39,16;8,
OMXBBGI,OMX_Baltic_Benchmark_GI,06.10.2005,626;96,16;17,
OMXBBGI,OMX_Baltic_Benchmark_GI,07.10.2005,622;43,15;33,
OMXBBGI,OMX_Baltic_Benchmark_GI,10.10.2005,625;22,15;85,
OMXBBGI,OMX_Baltic_Benchmark_GI,11.10.2005,624;39,15;69,
